"PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25"
-660039.749801316,-392743.812563024,-284622.243663027,-61148.6516551511,-322634.864611449,-78568.015314809,-477050.579386002,529376.755161344,5282.6131973255,710348.932089821,-327187.589319138,485627.73116425,-71495.2496160119,65776.5905615224,-382194.384952168,98846.656239954,20235.7671017941,171893.809936969,169307.118713066,-137038.933307717,74011.7150245771,-269912.880730494,289647.841152813,-121234.963146205,11064.8853014323
-883095.405271515,-505950.8528211,-175117.543600764,-35113.2041435445,-103516.221523352,-33231.8266787652,-247956.02124103,288472.056806063,34203.6793651523,283376.243858701,-224549.846360125,198966.825788344,-106516.185184114,-21901.182797697,-222614.8999405,-3364.59560705939,44923.0384370375,12691.1131996697,39435.4200514949,-38008.3314134082,43855.7072562546,-7368.75985434392,66155.8589107821,-4636.54691421508,22174.6090148937
-1016628.15617423,-584743.154035984,-186339.740249603,-37562.4943127392,-106209.770775071,-53850.9979335289,-297482.83353537,306666.429312207,49248.1549865943,348290.662209129,-188301.458752155,308631.159680626,100020.197739469,119993.796945937,-224114.838377636,-95377.3143524371,59633.8881204646,12678.2222754988,38577.5914798865,44286.6101018792,64097.847280523,17118.724732109,42999.2628363602,29665.7620244553,56833.4222343114
-1669236.2179636,-941509.162693396,-258656.158027518,-35876.4861500111,-1109.55229524662,-19419.0329024974,-207594.158877221,265412.078488725,19311.2815644667,265390.882134739,-128914.508589196,224234.844195805,-250648.930086429,-138629.962210928,-295549.398317441,-228718.760353946,79977.3583869425,34080.8107150946,41674.5263833518,6653.0361255213,82331.882956072,221694.672025444,-22376.5766259404,13269.3331645479,21351.5223913626
-1817231.94802394,-1019462.66204764,-171633.245005589,-26550.1992495071,80911.1572590198,-342.78469131673,-85371.3453900114,133819.077229351,145221.465478718,118420.91484635,-118093.739590017,89690.4939961808,-77420.7999488744,-34703.8601212283,-190921.32033189,-363312.578637704,108175.02750085,-66092.5074402975,-35644.7275459681,112008.870401376,33643.2383144105,57339.6391688041,110799.344181165,20367.920053,107842.165074907
-697599.471038291,-405153.314536231,-208979.033520347,-42043.209977634,-178594.095190204,-48846.7984133748,-320935.184657102,364349.85016256,11925.4330337048,447523.715029568,-223909.461966363,278447.744448954,-138939.554549163,-30040.6075163363,-269740.816914782,16324.6516844002,32384.7962299505,74455.5104265469,88160.4320926899,-68214.8023325796,48979.2399140587,-135549.934797939,173929.92871622,-38288.6689077894,-4310.43623127635
-834485.940267961,-486766.737760812,-245623.113479644,-51017.9297243647,-216106.302602937,-58311.2732063354,-422341.690525165,493744.754895429,-138.39893808297,479635.434498964,-290361.083908741,403144.166231644,-63914.0804771134,62675.1029876977,-347098.252265162,76453.9952307238,30157.1496575377,80753.5845442345,105821.879916804,-16386.8958642954,62207.216655094,-28072.2795974185,100241.816441463,-12673.3495894035,-5894.40327280106
-1746538.01934893,-989960.347707718,-335606.472084436,-53321.7326310861,-86814.0369545835,-42504.3494433382,-328858.314853708,397178.224194138,-3019.07285668113,453878.802544569,-260996.30564664,321093.48516053,-159225.092964689,-36019.4663581073,-357370.683697258,-152756.904063246,105656.473391205,-44563.363232717,37395.0567470141,-15145.2997927227,46979.1230681742,-90915.5618297074,227787.021833688,-1704.695265866,-36135.9385858208
-2934263.20861556,-1642131.62215468,-341984.013628663,-23258.3636945527,237263.245721217,18080.9568571781,-15996.9739307829,72743.897095686,22731.3167938572,84180.3543900359,71966.2857207867,117195.435670764,-287935.97807064,-214420.167898172,-310466.499915683,-404847.375133752,160773.725359566,-183119.835132968,-71720.6563479943,83889.4978554645,5862.14445206985,55183.4066453723,87854.3646817886,16286.1148758204,-999.397053678574
-1312494.34347592,-743528.23205151,-235049.581245856,-33645.7285873015,-44211.9132532066,-27221.231735492,-205014.380058166,242372.90551101,11478.5798751311,301110.475805657,-139000.218839884,206956.077450043,-126761.115368766,-47011.7764477515,-252842.357821306,-82311.0737723164,62272.2861077361,-7772.4191551143,31758.6155841021,12931.0171985104,26538.2671227937,-73658.666170729,183353.239509545,-27120.2610335147,-15340.0956259124
