"PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25"
-1539518.55939839,-874095.10303004,-216671.544704848,-20655.5258383438,52836.0616441039,-3353.06601113179,-127672.779455847,183317.789050141,42655.1163230824,230756.321452097,29690.5303840633,163038.771698496,-175254.017628523,-97417.3031665699,-214336.220850787,-194332.452504329,85421.044182876,-78824.5072589524,-9069.45201372474,165031.258135226,71473.5016567729,120470.738477135,17476.3505296247,38644.4770663855,7739.13155063593
-1518592.86277497,-866544.610125344,-239136.825990908,-19805.9523445255,38782.7884997436,-4529.2513755896,-110800.076517974,166042.938716813,26835.8449405092,319687.6404563,124839.245443563,213382.796896795,26606.8421513941,49177.7687677469,-143220.162556187,-131318.383727136,36796.1354903433,44595.3515327072,17946.6210814611,-38533.0366356211,27870.3270639408,59399.5274450692,83633.0440654746,-43191.2755825032,30486.3427928843
-1234771.90902589,-705324.836460176,-197144.854675442,-24112.0444623654,-19493.3981490828,-19995.5702062386,-152214.96784019,166127.794369374,64183.5592876502,246260.921913753,-44240.8710237282,184652.958342051,-140688.59698784,-71697.5610473928,-211713.371094012,90669.8599651192,61502.5876053577,-78794.8651857335,8849.14558185225,-53311.1673062109,33375.7947378935,15962.0968814773,110906.492118906,-60490.6262670352,13160.0976948611
-1789233.11250783,-1007635.0297606,-260104.364167866,-19649.4736183486,77750.8756883746,-1228.03275887692,-87667.6379523602,126536.784188148,45793.0233474579,230586.829015192,75616.5266643708,189927.487074036,-148498.049261629,-81161.5864012116,-249967.210734875,-31904.3633436328,107356.585828606,-173991.799483162,-37947.3765652519,43188.2449727403,7268.75979622667,18346.819107318,153814.359029073,-75881.0466423443,-17998.6270231597
-1090536.52937015,-630722.023102748,-187477.092432022,-28405.6491086709,-70582.0268585286,-30736.1032423758,-286886.731688956,368546.359041016,53151.47091667,447177.259240674,56132.8394241337,338210.428896012,55613.6530230795,100100.618281352,-282373.339238903,-256355.89300514,77446.885914988,-22458.2138831315,21045.8221566989,197113.762951906,62044.4528739592,71643.8218935859,-166606.216640717,82716.9358250547,66977.9473138342
-2792796.09765754,-1559110.09109578,-318527.812345843,-7283.02661786108,299625.67975435,31605.4979949714,69183.9025698756,-12132.2123631533,531.682131190566,100688.736297643,309628.583365487,73490.7167638836,-78406.1421321033,-79993.8345715946,-219712.281915177,-495891.015059627,130997.748109765,-120057.693638647,-84283.2095614048,342528.501652227,6763.70994347578,114007.336548328,181935.50842126,-41921.2748131081,-31250.0200744647
-944778.962901986,-541927.936311668,-212300.866522211,-32689.4870844934,-103254.110273251,-31258.6857319941,-231981.01574727,274055.6574263,3014.15794224019,366525.403618349,-125992.922332621,244471.81761492,-78747.98142279,-3452.59319160569,-220740.69102449,-2806.7260648766,22874.5068465398,66680.1241579916,74401.863985622,-62599.6891838003,30177.633560474,-98446.1646062808,86974.3148913789,-51229.3101511264,16565.9461151002
-3928590.29315804,-2183612.63831168,-407688.189980329,-19409.1917978924,419050.380899223,42843.6431176602,120236.899898094,-29929.0332538701,-25646.560003615,5282.28027702976,222351.933678769,259747.738358267,236370.201088555,173770.325859967,-261757.189817087,-941588.583537985,247803.235064465,-259850.089363763,-182478.18959888,306601.195664047,-35288.3684392938,-57797.3728462048,21626.004812887,149921.218083461,23037.912342335
-1878294.9009523,-1061427.24605561,-274222.764078862,-17676.0814595907,110362.710566442,4339.08791745663,-44579.475872625,84297.6607914885,5044.90674388935,201629.902508897,148812.214950645,258906.215606675,-41513.9479242459,-4661.55420047003,-182505.766056013,-93980.3725450037,64491.0975213957,-19811.116200904,20573.7282996781,-117805.479981116,14213.004750778,43124.7805274308,217496.352906483,-80799.3574761609,-6946.08452424379
-1129930.17957895,-642983.807151005,-187122.578973025,-16753.167759701,16520.9331234071,-11058.1978659486,-124033.941116484,161079.230536321,14074.5497765695,261481.98221626,67079.8667582015,140979.2056823,-115026.38238617,-66472.3346382115,-159254.927785618,-99612.7816300009,17344.1447543618,64275.8395409759,52315.1944939486,22929.7566171944,28212.9238096717,16879.4295541796,82982.6917224779,-46168.909437234,6571.05108020395
